KNr	A	B	C	Gene	Function
K00219	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	fadH	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	metabolism	general metabolism	general metabolism	tyrC	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E4.99.1.2	alkylmercury lyase [EC:4.99.1.2]
K00222	metabolism	lipid metabolism	steroid biosynthesis [path:ko00100]	TM7SF2, ERG24	Delta14-sterol reductase [EC:1.3.1.70]
K00223	metabolism	lipid metabolism	steroid biosynthesis [path:ko00100]	ERG4	Delta24(24(1))-sterol reductase [EC:1.3.1.71]
K00224	metabolism	lipid metabolism	alpha-linolenic acid metabolism [path:ko00592]	CEQORH	chloroplastic oxoene reductase [EC:1.3.1.-]
K00225	metabolism	carbohydrate metabolism	ascorbate and aldarate metabolism [path:ko00053]	GLDH	L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]
K00226	metabolism	nucleotide metabolism	pyrimidine metabolism [path:ko00240]	pyrD	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
K00227	metabolism	lipid metabolism	steroid biosynthesis [path:ko00100]	SC5DL, ERG3	Delta7-sterol 5-desaturase [EC:1.14.19.20]
K00228	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	CPOX, hemF	coproporphyrinogen III oxidase [EC:1.3.3.3]
K00230	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	hemG	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	PPOX, hemY	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00232	multiple functions	multiple functions	multiple functions	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase [EC:1.3.3.6]
K00234	multiple functions	multiple functions	multiple functions	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
K00235	multiple functions	multiple functions	multiple functions	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
K00236	multiple functions	multiple functions	multiple functions	SDHC, SDH3	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	multiple functions	multiple functions	multiple functions	SDHD, SDH4	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	multiple functions	multiple functions	multiple functions	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
K00240	metabolism	general metabolism	general metabolism	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
K00241	metabolism	general metabolism	general metabolism	sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	metabolism	general metabolism	general metabolism	sdhD, frdD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00243	not included in pathway or brite	poorly characterized	function unknown	K00243	uncharacterized protein
K00244	multiple functions	multiple functions	multiple functions	frdA	fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00245	multiple functions	multiple functions	multiple functions	frdB	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00246	multiple functions	multiple functions	multiple functions	frdC	fumarate reductase subunit C
K00247	multiple functions	multiple functions	multiple functions	frdD	fumarate reductase subunit D
K00248	metabolism	general metabolism	general metabolism	ACADS, bcd	butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	multiple functions	multiple functions	multiple functions	ACADM, acd	acyl-CoA dehydrogenase [EC:1.3.8.7]
K00251	metabolism	lipid metabolism	general lipid metabolism	AKR1D1	3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]
K00252	metabolism	general metabolism	general metabolism	GCDH, gcdH	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00253	metabolism	amino acid metabolism	valine, leucine and isoleucine degradation [path:ko00280]	IVD, ivd	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00254	metabolism	nucleotide metabolism	pyrimidine metabolism [path:ko00240]	DHODH, pyrD	dihydroorotate dehydrogenase [EC:1.3.5.2]
K00255	multiple functions	multiple functions	multiple functions	ACADL	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00257	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	mbtN, fadE14	acyl-ACP dehydrogenase [EC:1.3.99.-]
K00258	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	SWNR	swainsonine biosynthesis oxidoreductase SwnR [EC:1.3.1.-]
K00259	metabolism	general metabolism	general metabolism	ald	alanine dehydrogenase [EC:1.4.1.1]
K00260	metabolism	general metabolism	general metabolism	gudB, rocG	glutamate dehydrogenase [EC:1.4.1.2]
K00261	multiple functions	multiple functions	multiple functions	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00262	metabolism	general metabolism	general metabolism	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00263	metabolism	amino acid metabolism	general amino acid metabolism	E1.4.1.9	leucine dehydrogenase [EC:1.4.1.9]
K00264	metabolism	general metabolism	general metabolism	GLT1	glutamate synthase (NADH) [EC:1.4.1.14]
K00265	multiple functions	multiple functions	multiple functions	gltB	glutamate synthase (NADPH) large chain [EC:1.4.1.13]
K00266	metabolism	general metabolism	general metabolism	gltD	glutamate synthase (NADPH) small chain [EC:1.4.1.13]
K00270	metabolism	amino acid metabolism	general amino acid metabolism	pdh	phenylalanine dehydrogenase [EC:1.4.1.20]
K00271	metabolism	amino acid metabolism	valine, leucine and isoleucine degradation [path:ko00280]	vdh	valine dehydrogenase (NAD+) [EC:1.4.1.23]
K00272	multiple functions	multiple functions	multiple functions	DDO	D-aspartate oxidase [EC:1.4.3.1]
K00273	multiple functions	multiple functions	multiple functions	DAO, aao	D-amino-acid oxidase [EC:1.4.3.3]
K00274	multiple functions	multiple functions	multiple functions	MAO, aofH	monoamine oxidase [EC:1.4.3.4]
K00275	metabolism	metabolism of cofactors and vitamins	vitamin b6 metabolism [path:ko00750]	pdxH, PNPO	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K00276	metabolism	general metabolism	general metabolism	AOC3, AOC2, tynA	primary-amine oxidase [EC:1.4.3.21]
K00277	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	LOX	protein-lysine 6-oxidase [EC:1.4.3.13]
K00278	metabolism	general metabolism	general metabolism	nadB	L-aspartate oxidase [EC:1.4.3.16]
K00279	metabolism	metabolism of terpenoids and polyketides	zeatin biosynthesis [path:ko00908]	CKX	cytokinin dehydrogenase [EC:1.5.99.12]
K00280	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	LOXL2_3_4	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00281	metabolism	general metabolism	general metabolism	GLDC, gcvP	glycine dehydrogenase [EC:1.4.4.2]
K00282	metabolism	general metabolism	general metabolism	gcvPA	glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	metabolism	general metabolism	general metabolism	gcvPB	glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00284	multiple functions	multiple functions	multiple functions	GLU, gltS	glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00285	metabolism	amino acid metabolism	phenylalanine metabolism [path:ko00360]	dadA	D-amino-acid dehydrogenase [EC:1.4.5.1]
K00286	metabolism	amino acid metabolism	arginine and proline metabolism [path:ko00330]	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287	multiple functions	multiple functions	multiple functions	DHFR, folA	dihydrofolate reductase [EC:1.5.1.3]
K00288	multiple functions	multiple functions	multiple functions	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
K00289	metabolism	metabolism of cofactors and vitamins	one carbon pool by folate [path:ko00670]	ALDH1L	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K00290	metabolism	amino acid metabolism	general amino acid metabolism	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
K00293	metabolism	amino acid metabolism	general amino acid metabolism	LYS9	saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]
K00294	metabolism	amino acid metabolism	general amino acid metabolism	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00295	metabolism	metabolism of cofactors and vitamins	one carbon pool by folate [path:ko00670]	MTD1	methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]
K00296	metabolism	amino acid metabolism	arginine and proline metabolism [path:ko00330]	nos	D-nopaline dehydrogenase [EC:1.5.1.19]
K00297	metabolism	general metabolism	general metabolism	metF, MTHFR	methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]
K00298	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	ceo	N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
K00299	metabolism	general metabolism	general metabolism	ssuE	FMN reductase [EC:1.5.1.38]
K00300	metabolism	general metabolism	general metabolism	mtdA	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]
K00301	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	E1.5.3.1	sarcosine oxidase [EC:1.5.3.1]
K00302	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	soxA	sarcosine oxidase, subunit alpha [EC:1.5.3.1]
K00303	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	soxB	sarcosine oxidase, subunit beta [EC:1.5.3.1]
K00304	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	soxD	sarcosine oxidase, subunit delta [EC:1.5.3.1]
K00305	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	soxG	sarcosine oxidase, subunit gamma [EC:1.5.3.1]
K00306	multiple functions	multiple functions	multiple functions	PIPOX	sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
K00307	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	BBE1	reticuline oxidase [EC:1.21.3.3]
K00308	cellular processes	transport and catabolism	peroxisome [path:ko04146]	PAOX	N1-acetylpolyamine oxidase [EC:1.5.3.13]
K00309	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	dmg	dimethylglycine oxidase [EC:1.5.3.10]
K00310	metabolism	general metabolism	general metabolism	SE	pyrimidodiazepine synthase [EC:1.5.4.1]
K00311	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	ETFDH	electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
K00312	multiple functions	multiple functions	multiple functions	WNT3	wingless-type MMTV integration site family, member 3
K00313	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	fixC	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
K00314	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	SARDH	sarcosine dehydrogenase [EC:1.5.8.3]
K00315	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	DMGDH	dimethylglycine dehydrogenase [EC:1.5.8.4]
K00316	metabolism	general metabolism	general metabolism	spdH	spermidine dehydrogenase [EC:1.5.99.6]
K00317	metabolism	energy metabolism	methane metabolism [path:ko00680]	dmd-tmd	dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
K00318	metabolism	amino acid metabolism	arginine and proline metabolism [path:ko00330]	PRODH, fadM, putB	proline dehydrogenase [EC:1.5.5.2]
K00319	metabolism	energy metabolism	methane metabolism [path:ko00680]	mtd	methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]
K00320	metabolism	energy metabolism	methane metabolism [path:ko00680]	mer	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00322	metabolism	metabolism of cofactors and vitamins	nicotinate and nicotinamide metabolism [path:ko00760]	sthA, udhA	NAD(P) transhydrogenase [EC:1.6.1.1]
K00323	metabolism	metabolism of cofactors and vitamins	nicotinate and nicotinamide metabolism [path:ko00760]	NNT	H+-translocating NAD(P) transhydrogenase [EC:1.6.1.2 7.1.1.1]
K00324	metabolism	metabolism of cofactors and vitamins	nicotinate and nicotinamide metabolism [path:ko00760]	pntA	H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
K00325	metabolism	metabolism of cofactors and vitamins	nicotinate and nicotinamide metabolism [path:ko00760]	pntB	H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
K00326	metabolism	carbohydrate metabolism	amino sugar and nucleotide sugar metabolism [path:ko00520]	E1.6.2.2	cytochrome-b5 reductase [EC:1.6.2.2]
K00327	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	POR	NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
K00330	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoA	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
K00331	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoB	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
K00332	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoC	NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
K00333	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoD	NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
K00334	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoE	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
K00335	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoF	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
K00336	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoG	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
K00337	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoH	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
K00338	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoI	NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
K00339	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoJ	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
K00340	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoK	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
K00341	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoL	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
K00342	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoM	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
K00343	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoN	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
K00344	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	qor, CRYZ	NADPH:quinone reductase [EC:1.6.5.5]
K00345	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	ndhS	NAD(P)H-quinone oxidoreductase subunit S, chloroplastic [EC:7.1.1.-]
K00346	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	nqrA	Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]
K00347	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	nqrB	Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]
K00348	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	nqrC	Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]
K00349	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	nqrD	Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]
K00350	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	nqrE	Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]
K00351	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	nqrF	Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]
K00354	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.6.99.1	NADPH2 dehydrogenase [EC:1.6.99.1]
K00355	multiple functions	multiple functions	multiple functions	NQO1	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K00357	metabolism	metabolism of cofactors and vitamins	folate biosynthesis [path:ko00790]	QDPR	dihydropteridine reductase [EC:1.5.1.34]
K00359	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	qorA	NADPH:quinone reductase [EC:1.6.5.5]
K00360	metabolism	energy metabolism	nitrogen metabolism [path:ko00910]	nasB	assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
K00362	metabolism	energy metabolism	nitrogen metabolism [path:ko00910]	nirB	nitrite reductase (NADH) large subunit [EC:1.7.1.15]
K00363	metabolism	energy metabolism	nitrogen metabolism [path:ko00910]	nirD	nitrite reductase (NADH) small subunit [EC:1.7.1.15]
K00364	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	E1.7.1.7, guaC	GMP reductase [EC:1.7.1.7]
K00365	metabolism	general metabolism	general metabolism	uaZ	urate oxidase [EC:1.7.3.3]
K00366	metabolism	energy metabolism	nitrogen metabolism [path:ko00910]	nirA	ferredoxin-nitrite reductase [EC:1.7.7.1]
K00367	metabolism	energy metabolism	nitrogen metabolism [path:ko00910]	narB	ferredoxin-nitrate reductase [EC:1.7.7.2]
K00368	metabolism	energy metabolism	nitrogen metabolism [path:ko00910]	nirK	nitrite reductase (NO-forming) [EC:1.7.2.1]
K00370	multiple functions	multiple functions	multiple functions	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K00371	multiple functions	multiple functions	multiple functions	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
K00372	metabolism	energy metabolism	nitrogen metabolism [path:ko00910]	nasA	assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
